Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
I'm Not a Robot,"Dec 6, 2017 - Jan 25, 2018",2017,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Kim Min Kyu is the largest shareholder of a financial company. He suffers from a ""human allergy"", preventing him from normal interactions with other people. He becomes interested in a robotic project named Aji-3 created by the Santa Maria robotic team. The team is headed by Hong Baek Gyun, inventor of Aji-3 and world-renowned robotics professor. He modeled Aji-3 after his ex-girlfriend, Jo Ji Ah, a struggling inventor that also works as a personal shopper to make ends meet. Just when Kim Min Kyu wants to test the robot, an accident causes the malfunction of the robot's battery. Hong Baek Gyun begs Jo Ji Ah to take the place of Aji-3 and pretend to be the robot so they can get funding from Kim Min Kyu. But, Aji-3 becomes the closest thing that the lonely Min Kyu has to real contact with another person.","Comedy, Romance, Drama, Sci-Fi","Haphephobia, Hidden Identity, Rich Male Lead, Robot, Eccentric Male Lead, Double Identity, Sismance, Hardworking Female Lead, Healing, Forgiveness",Jeong Dae Yun,Kim Sun Mi,"Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon, Park Se Wan, Song Jae Ryong, Go Geon Han",May Queen Pictures,#143
Memorist,"Mar 11, 2020 - Apr 30, 2020",2020,tvN,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Dong Baek has an extraordinary ability. He can peer into the memories of whoever he touches. With his supernatural power, get it done attitude, and eye-pleasing looks, he is fervently revered worldwide as a superstar detective. However, when his punches meet with suspects before words, he can be a bit of a headache to his comrades. Starting from the age of twenty, Han Sun Mi is the youngest to have passed the bar exam, obtain a doctorate in criminal psychology, and become a senior superintendent in the police force. Having solved five cold cases that even a detective with supernatural powers couldn't do, she is a genius profiler. She has a secret that drives her to do what she does. These two highly-skilled professionals meet their match—a serial killer with abilities that transcend theirs combined. It's going to be a fight worth watching.","Action, Thriller, Mystery, Supernatural","Adapted From A Webtoon, Smart Female Lead, Eccentric Male Lead, Supernatural Power, Calm Female Lead, Investigation, Cult, Aggressive Male Lead, Violence, Murder","So Jae Hyun, Kim Hwi","Ahn Do Ha, Hwang Ha Na","Yoo Seung Ho, Lee Se Young, Jo Sung Ha, Ko Chang Seok, Yun Ji On, Jeon Hyo Sung",Studio 605,#144
Voice 2,"Aug 11, 2018 - Sep 16, 2018",2018,OCN,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,"Listen closely, because skilled voice profiler Kang Kwon Joo is back. Working tirelessly at the Emergency Call Center, she uses her first-rate hearing to save lives and catch culprits. When it comes to responding to emergencies within the vital “golden time,” Kang Kwon Joo is simply the best. Do Kang Woo is a mysterious man who’s able to tap into the mind of a criminal. He also hides a secret pain that he doesn’t share with anyone. When he meets Kang Kwon Joo, they reluctantly form a team. She can hear crime; he can think it. Together, they take on the most dangerous criminals their city has ever seen.","Thriller, Mystery, Psychological","Investigation, Strong Female Lead, Leadership, Suspense, Kidnapping, Tragic Past, Teamwork, Smart Female Lead, Emergency Communication Center, Murder",Lee Seung Young,Ma Jin Won,"Lee  Ha Na, Lee Jin Wook, Kwon Yool, Ahn Se Ha, Son Eun Seo, Kim Woo Seok",Content K,#145
Doom at Your Service,"May 10, 2021 - Jun 29, 2021",2021,"tvN, ViuTV","Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. Myeol Mang says that he can grant Dong Kyung's wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything.","Comedy, Romance, Drama, Fantasy","Terminal Illness, Illness, Brain Cancer, Hardworking Female Lead, Unlucky Female Lead, Glioblastoma, First Love, Eccentric Male Lead, Brother-Sister Relationship, Fate",Kwon Young Il,Im Me Ah Ri,"Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun, Dawon","Studio&NEW, Studio Dragon",#146
Duel,"Jun 3, 2017 - Jul 23, 2017",2017,OCN,"Saturday, Sunday",16,1 hr. 3 min.,,8.4,"Jang Deuk Cheon, a hardened detective cop whose daughter is kidnapped, begins a chase against great odds to solve the mystery of his situation and find his child before it is too late. He starts to hunt down the suspect using the one clue he has: Two men with the same face were at the crime scene.","Thriller, Mystery, Sci-Fi","Amnesia, Human Experimentation, Kidnapping, Tragic Past, Father-Daughter Relationship, Bromance, Investigation, Suspense, Revenge, Murder",Lee Jong Jae,Kim Yoon Joo,"Jung Jae Young, Kim Jung Eun, Yang Se Jong, Seo Eun Soo, Kim Ki Doo, Yoon Gyung Ho",Chorokbaem Media,#147
Search: WWW,"Jun 5, 2019 - Jul 25, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"This drama is about the conflicts, the wins, and losses one experiences when working. It will follow the story of 21st century women, who chose not to be a wife or a mother and successfully work without discrimination or impediments. Bae Ta Mi works as a director for a big web portal company. She is in her late 30's and is quite competitive. With her competitiveness, Ta Mi enjoys success. The methods she uses to win has her wondering if she is doing the right thing with her life. Has she sacrificed too much of her personal life for success? Park Mo Gun is a man in his 20's and is a gifted composer. He creates music for video games. Mo Gun meets Ta Mi at an arcade. He falls in love with her due to her competitive spirit.","Business, Comedy, Romance, Drama","Successful Female Lead, Smart Female Lead, Strong Female Lead, Independent Female Lead, Sismance, Social Media, Older Woman/Younger Man, Teamwork, Competition, Data Manipulation","Jung Ji Hyun, Kwon Young Il",Kwon Do Eun,"Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",Hwa&Dam Pictures,#148
"From Now On, Showtime!","Apr 23, 2022 - Jun 12, 2022",2022,"MBC, ViuTV","Saturday, Sunday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.4,"Cha Cha Woong is a popular if somewhat sardonic stage and TV magician with a taste for the spectacular. His tricks dazzle audiences, but little do most people know – he has a gang of secret helpers! However, these are no ordinary magician’s assistants: They are actually ghosts. But Cha Cha Woong is not afraid of beings from the spirit realm – in fact, he treats them as his employees...and they, in turn, believe him to be their “boss.” One day, his path crosses with that of Go Seul Hae, a young, passionate police officer. He attempts to brush her off when she investigates an incident connected to one of his magic shows. But she soon realizes that the magician’s unusual abilities could be the perfect crime-fighting tool. She manages to convince him to join the police force in its efforts to catch fiendish criminals – and use his ghostly retinue to help foil evil masterminds! But in the course of their unorthodox partnership, could romance also make an appearance on the scene?","Mystery, Comedy, Romance, Fantasy","Supernatural, Ghost, Investigation, Magician Male Lead, Police Officer Female Lead, Ghost-seeing Male Lead, Slow Burn Romance, Special Power, Ghost Supporting Character, Love Triangle",Lee Hyung Min,Ha Yoon Ah,"Park Hae Jin, Jin Ki Joo, Jung Joon, Go Gyu Pil, Jung Suk Yong, Park Seo Yeon",Samhwa Networks,#149
Hello Monster,"Jun 22, 2015 - Aug 11, 2015",2015,KBS2,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Genius profiler Lee Hyun, returns home to Korea after something from a case he’s been sent triggers a memory he thought he’d lost forever. Unbeknownst to him, one of his team members, Detective Cha Ji An, has been investigating him for some time. She is aware that his father was murdered and his brother disappeared under mysterious circumstances involving a criminal named Lee Joon Young -- whom they both want found and incarcerated. Each seeks to unravel the other, unaware that they’ve been drawn into a dangerous game of cat and mouse by a master player and that both truth and evil are closer and far more twisted than they think.","Thriller, Mystery, Psychological, Drama","Smart Male Lead, Investigation, Hidden Identity, Female Chases Male First, Eccentric Male Lead, Slight Romance, Bromance, Calm Male Lead, Hardworking Female Lead, Cold Man/Warm Woman","Kim Jin Won, No Sang Hoon",Kwon Ki Young,"Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young, Lee Chun Hee, Min Sung Wook",CJ ENM,#150
Moon Embracing the Sun,"Jan 4, 2012 - Mar 15, 2012",2012,MBC,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Thirteen-year-old Heo Yeon Woo, the daughter of a high-ranking official, accompanies her mother to the royal palace to attend her brother, Heo Yeom's civil service examination congratulatory ceremony. By chance, she comes across Crown Prince Lee Hwon. They fall in love and Yeon Woo is chosen as the Crown Princess of Joseon. Before they can marry, however, the Dowager Queen secretly orders her death, in order to install Yoon Bo Gyeong, the daughter of a family clan, as Crown Princess, thus securing more power for herself. She orders the head shaman to cast a spell on Yeon Woo to strike her with an unknown sickness. After dying, Yeon Woo is resurrected from her grave but loses her memories. All believe her to be dead, including Crown Prince Lee Hwon, who refuses to love another. Eight years later, Yeon Woo returns as a shaman named Wol (meaning moon). Meanwhile, the young king begins to investigate the death of his love after seeing the grown-up Wol. But he is fighting against time because the queen's powerful political clan wants him removed from power.","Historical, Romance, Supernatural, Political","Lovers Separated, Amnesia, Power Struggle, Hidden Identity, Joseon Dynasty, First Love, Black Magic, Time Skip, Male Chases Female First, Brother-Sister Relationship","Lee Sung Joon, Kim Do Hoon",Jin Soo Wan,"Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo, Kim Yoo Jung, Yeo Jin Goo",Pan Entertainment,#151
Train,"Jul 11, 2020 - Aug 16, 2020",2020,OCN,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,"Haunted by the thought that his drunkard father killed another man before also dying on the same day and not paying for his crime, Seo Do Won lives his life trying to secretly repay Han Seo Kyung for his father’s sin while hiding the truth. He is now a detective who overworks to escape his guilt, and she is a prosecutor who is still looking for her father’s killer. One day, Do Won stumbles upon corpses buried in an abandoned, old train station. Classifying it as a serial murder case, Do Won and the police start investigating. However, the case becomes weird when a dead victim turns up alive and Seo Kyung is killed along with the discovery of a new corpse. Realizing that the mysterious train that shows up in the abandoned station is a portal between parallel universes, Do Won travels to the other world to track the serial killer with the help of the other Seo Kyung.","Thriller, Mystery, Sci-Fi","Parallel Dimension, Suspense, Murder, Death, Tough Female Lead, Slight Romance, Strong Male Lead, Crossworlds Traveler, First Love, Orphan Female Lead",Lee Seung Hoon,Park Ga Yun,"Yoon Shi Yoon, Kyung Soo Jin, Shin So Yool, Lee Hang Na, Nam Moon Chul, Jo Wan Ki",doFRAME,#152
Sh**ting Stars,"Apr 22, 2022 - Jun 11, 2022",2022,tvN,"Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.4,"As one of the nation’s most beloved stars, Gong Tae Sung is used to living his life in the spotlight. With the eyes of the world constantly on him, Tae Sung does his best to keep a smile on his face and his temper in check. Seen by the people as a kind and polite young man, the only people who don’t buy into his whole good guy persona are those working for his management company. As the head of that company’s PR team, Oh Han Byeol knows exactly what Tae Sung is really like. Well aware of his strong desire to win and his hot temper, Han Byeol has had to employ her excellent speech and crisis management skills on a number of occasions, in order to keep Tae Sung’s reputation as spotless as it seems. Constantly bickering, there isn’t anyone in the world better suited to the role of natural enemies than Han Byeol and Tae Sung. Forever at odds with each other, Tae Sung and Han Byeol seem destined to hate each other forever. But could the time they’re forced to spend together change those feelings or will their mutual loathing last for all eternity?","Comedy, Romance, Drama","Entertainment Industry, Famous Male Lead, Multiple Mains, Enemies To Lovers, Love/Hate Relationship, Actor Male Lead, Multiple Couples, PR Specialist Female Lead, Actor/Actress Supporting Character, Reporter Female Lead",Lee Soo Hyun,"Choi Young Woo, Choi Yeon Seo","Lee Sung Kyung, Kim Young Dae, Yoon Jong Hoon, Kim Yoon Hye, Park So Jin, Lee Jung Shin",Mays Entertainment,#153
The Crowned Clown,"Jan 7, 2019 - Mar 4, 2019",2019,tvN,"Monday, Tuesday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Joseon is in a state of disorder due to uprisings and a power struggle surrounding King Lee Hun. To avoid assassination, a clown named Ha Sun is brought to the palace to take the place of King Lee Hun. Ha Sun looks almost identical to King Lee Hun. When Ha Sun was a child, his parents died during an epidemic. Ha Sun almost died from starvation around that time, but he was saved by a group of clowns. Ha Sun grew up with the clowns and became one of them. During their performance, Ha Sun would play King Lee Hun due to their similar physical appearance. Now, Ha Sun is nervous that someone in the palace will find out he is not the real king. He falls for beautiful Queen Yoo So Woon.","Historical, Romance, Melodrama, Political","Double Identity, Joseon Dynasty, Noble Woman/Common Man, Identity Swap, Power Struggle, Nice Male Lead, Doppelganger, Revenge, Rebellion, Poor Male Lead",Kim Hee Won,"Shin Ha Eun, Kim Sung Deok","Yeo Jin Goo, Lee Se Young, Kim Sang Kyung, Jang Gwang, Yoon Jong Seok, Yoon Gyung Ho",GTist,#154
Mad Dog,"Oct 11, 2017 - Nov 30, 2017",2017,KBS2,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.4,"Choi Kang Woo, who is a former police and leader of Taeyang Insurance's investigators team, decides to create his own investigation team, after an airplane crash that took the life of his wife and son. He then meets Kim Min Joon, a genius former swindler whose brother was also a victim of the crash, thus begin their rivalry and cooperation. The drama portrays the reality of Korea through diverse insurance crimes that are prevalent in the country. There are the 'copy cats' that imitate and improve the existing crimes, and the 'mad dogs' who catch these bad cats.","Action, Thriller, Mystery","Revenge, Tragic Past, Enemy Mine, Corruption, Insurance, Strong Female Lead, Teamwork, Fraud, Investigation, Bromance",Hwang Eui Kyung,Kim Soo Jin,"Yoo Ji Tae, Woo Do Hwan, Ryu Hwa Young, Jo Jae Yoon, Kim Hye Sung, Hong Soo Hyun","Imagine Asia, Celltrion Entertainment",#155
Birthcare Center,"Nov 2, 2020 - Nov 24, 2020",2020,tvN,"Monday, Tuesday",8,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Oh Hyun Jin  has had a glittering career in her work life. She is the youngest member on the board of executives at the company she works at and is used to acing everything she does. But when she delivers her first child, she is in for a shock. Giving birth was far more difficult than she had expected, and she quickly discovers that although she is a dab hand at all things work-related, she hasn’t got the first clue about how to bring up a baby. After being discharged from hospital, she heads to a birth care center – an exclusive establishment where even A-list stars come to get postpartum care. She is dismayed to realize that she is the oldest mother in the center, and embarrassed to notice that everyone else seems to know what they are doing when it comes to looking after babies. Fortunately, the other mothers at the center prove inspirational. Among their number is Cho Eun Jung, aka the Queen Bee – a seemingly perfect mother whom everyone wants to befriend in order to learn childcare secrets. And Choi Hye Sook is the charismatic center manager – a veritable font of knowledge about all things childcare-related.","Comedy, Life, Drama, Melodrama","Motherhood, Childbirth, Strong Female Lead, Older Woman/Younger Man, Sismance, Black Comedy, Hardworking Female Lead, Independent Female Lead, Multiple Mains, Pregnancy",Park Soo Won,Kim Ji Soo,"Uhm Ji Won, Park Ha Sun, Choi Ri, Jang Hye Jin, Yoon Park, Im Hwa Young","tvN, RaemongRaein Co., Ltd.",#156
Nine: Nine Times Time Travel,"Mar 11, 2013 - May 14, 2013",2013,tvN,"Monday, Tuesday",20,52 min.,15+ - Teens 15 or older,8.4,"Park Sun Woo works as an anchorman at a TV broadcasting station. He is in love with news reporters Joo Min Young, who is bright and honest. Park Sun Woo then obtains 9 incense items, which allows him to go back 20 years in time. Sun Woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. However, this is not without consequences for his actions in the past affects the lives of many in the present, including his crush.","Mystery, Romance, Supernatural","Time Travel, 1990s, Bromance, Female Chases Male First, Announcer Male Lead, Reporter Female Lead, Magical Object, Arrogant Male Lead, Brain Tumor, Hidden Past",Kim Byung Soo,"Song Jae Jung, Kim Yoon Joo","Lee Jin Wook, Lee Seung Joon, Jo Yoon Hee, Oh Min Suk, Lee Yi Kyung, Jo Min Ah","JS Pictures, Chorokbaem Media",#157
Extraordinary You,"Oct 2, 2019 - Nov 21, 2019",2019,MBC,"Wednesday, Thursday",32,35 min.,13+ - Teens 13 or older,8.4,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously! Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author’s plans for her character by utilizing the flashes of storyboard she alone is able to see.","Comedy, Romance, Youth, Fantasy","Sassy Female Lead, Nice Male Lead, Adapted From A Webtoon, High School, Illness, Height Difference, Love Triangle, Character Development, Strong Female Lead, Amnesia","Kim Sang Hyub, Kim Sang Woo","In Ji Hye, Song Ha Young","Kim Hye Yoon, Rowoon, Lee Jae Wook, Lee Na Eun, Kim Young Dae, Jung Gun Joo","MBC, RaemongRaein Co., Ltd.",#158
Pinocchio,"Nov 12, 2014 - Jan 15, 2015",2014,SBS,"Wednesday, Thursday",20,58 min.,15+ - Teens 15 or older,8.4,"The idealistic Choi In Ha has her work cut out for her when she becomes a broadcast reporter, especially when she suffers from a condition known as “Pinocchio syndrome,” which makes her break out into hiccups whenever she tells a lie. Her rookie colleagues include Choi Dal Po, whose shabby appearance masks his true eloquence and sharp memory; Seo Bum Jo, a wealthy heir who has had everything handed to him in life; and Yoon Yoo Rae, whose fangirl knowledge comes in handy in covering the news. The 20-something newbie reporters pursue justice as they try to discover themselves in the process.","Thriller, Mystery, Comedy, Romance","Tragic Past, Hidden Identity, Double Identity, Journalism, Adopted Siblings Love, Cohabitation, Revenge, Wrongfully Accused, Bromance, News Media",Jo Soo Won,Park Hye Ryun,"Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung, Lee Pil Mo",iHQ,#159
Doctor Prisoner,"Mar 20, 2019 - May 15, 2019",2019,KBS2,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Doctor Prisoner centers around an ace doctor in a university hospital’s emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the bigshots there—business tycoons, celebrities caught for doing drugs, sports stars guilty of gambling—and to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he’ll get rid of the existing prison chief doctor and claim the spot for himself.","Thriller, Law, Crime, Medical","Revenge, Smart Male Lead, Corruption, Power Struggle, Scheme, Lying, Smart Female Lead, Strong Female Lead, Deception, Character Development","Song Min Yeop, Hwang In Hyuk",Park Kye Ok,"Namkoong Min, Kwon Na Ra, Kim Byung Chul, Choi Won Young, Lee Da In, Jin Hee Kyung",Jidam Inc.,#160
Love All Play,"Apr 20, 2022 - Jun 9, 2022",2022,KBS2,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"A sports romance drama that depicts the passion and affection for badminton of a male and female protagonist who is a mixed doubles group with players from the badminton business team. Park Tae Joon, who naturally wound up in the world of badminton because of his parents’ badminton equipment business. Although he had begun to see the sport as work, his passion for badminton is reignited due to a desire to impress a woman. Park Tae Yang is a former aspiring Olympian who had to leave the badminton world for three years due to a bribing scandal.","Romance, Drama, Sports, Melodrama","Badminton, Athlete Male Lead, Childhood Acquaintance, Teamwork, Friends To Lovers, Competition, Height Difference, Athlete Female Lead, Youth, Friendship",Jo Woong,Heo Sung Hye,"Park Ju Hyun, Chae Jong Hyeop, Park Ji Hyun, Kim Moo Joon, Seo Ji Hye, Jo Han Chul",Blitzway Studios,#161
My Unfamiliar Family,"Jun 1, 2020 - Jul 21, 2020",2020,tvN,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,"Is blood thicker than water? Kim Eun Hee, is about to find out. She is the middle child in a family that is slowly starting to drift apart. Her older sister is a former patent attorney, and her younger brother is a sensitive soul. And although her father is hard-working, he is often distant – an attitude that has her mother poised to begin a new chapter in her life. While she pines for intimacy, Kim Eun Hee keeps her feelings hidden from her family. Instead, she prefers to confide in her close male college friend Park Chan Hyuk – a man who has become more like a brother to her than any of her real siblings. And it is to him that she turns for love advice as she looks to return to the dating scene after a long absence. But what happens when events take a turn? Could the family pull together in time to weather the storm? And when the going gets tough, will it be Kim Eun Hee’s family or her friends who step up to the plate?","Life, Drama","Family Crisis, Amnesia, Misunderstanding, Multiple Mains, Mother-Son Relationship, Father-Daughter Relationship, Mother-Daughter Relationship, Father-Son Relationship, Friends To Lovers, Marriage",Kwon Young Il,Kim Eun Jung,"Han Ye Ri, Kim Ji Suk, Choo Ja Hyun, Jung Jin Young, Won Mi Kyung, Shin Jae Ha",Studio Dragon,#162
Her Private Life,"Apr 10, 2019 - May 30, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life... Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.","Business, Comedy, Romance, Drama","Boss-Employee Relationship, Independent Female Lead, Eccentric Female Lead, Orphan Male Lead, Smart Male Lead, Calm Male Lead, Sismance, Fan Culture, Steamy Kiss, Strong Female Lead",Hong Jong Chan,Kim Hye Young,"Park Min Young, Kim Jae Wook, Ahn Bo Hyun, One, Kim Bo Ra, Park Jin Joo",Bon Factory Worldwide,#163
Age of Youth 2,"Aug 25, 2017 - Oct 7, 2017",2017,jTBC,"Friday, Saturday",14,60 min.,15+ - Teens 15 or older,8.4,"Five girls in their 20s share a house called Belle Époque. A year has passed since “Hello, My Twenties 1.” Each of them got a job, went back to school, is still trying to get a boyfriend, or is getting over her first breakup. One day, a new student arrives at the house with a letter she stumbled upon. The letter is filled with curses against one of the girls at Belle Époque.","Mystery, Comedy, Romance, Life","Multiple Mains, Sismance, Trauma, Multiple Couples, Friendship, Taller Woman/Shorter Man, Investigation, Strong Female Lead, Character Development, Youth","Lee Tae Gon, Kim Sang Ho",Park Yeon Sun,"Han Ye Ri, Han Seung Yeon, Park Eun Bin, Ji Woo, Choi A Ra, Kim Min Seok","Drama House, Take 2 Media Group",#164
Secret,"Sep 25, 2013 - Nov 14, 2013",2013,KBS2,"Wednesday, Thursday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.4,"A man who does not believe in love, falls for a woman who has been hurt by it. Min Hyuk is wealthy, with everything but a good personality, He’s been enraged and consumed by the need for revenge, ever since he learnt his lover was the victim  of a hit-and-run accident. Yoo Jung takes the blame for her boyfriend, the actual driver at the time of the accident. In time, she will feel betrayed for having done so. Now in prison and in a state of despair, Jung still refuses to give up on life entirely.","Romance, Drama, Melodrama","Revenge, Nice Female Lead, Rich Male Lead, Love Square, Naive Female Lead, Slow Burn Romance, Wrongfully Accused, Rich Man/Poor Woman, Pregnancy, Hit And Run","Baek Sang Hoon, Lee Eung Bok","Choi Ho Chul, Yoo Bo Ra","Ji Sung, Hwang Jung Eum, Bae Soo Bin, Lee Da Hee, Lee Deok Hwa, Jo Mi Ryung","Secret Love SPC, Content K",#165
Military Prosecutor Doberman,"Feb 28, 2022 - Apr 26, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Do Bae Man became military prosecutor only to make more money and be successful. On the other hand, Cha Woo In, recently joining Bae Man’s team, became one for her revenge. As these two different purposes shows, the two have very different backgrounds and personalities. However, as they work on the same case, Bae Man and Woo In help each other and even grow together as fine military prosecutors.","Action, Military, Mystery, Law","Military Abuse, Investigation, Death Of A Mother, Prosecutor Female Lead, Prosecutor Male Lead, Death Of A Father, Money-Hungry Male Lead, Successful Male Lead, Evil Parental Figure, Money-Obsession",Jin Chang Gyu,Yoon Hyun Ho,"Ahn Bo Hyun, Jo Bo Ah, Oh Yeon Soo, Kim Young Min, Kim Woo Seok, Kang Mal Geum","Studio Dragon, Logos Film",#166
Pachinko,"Mar 25, 2022 - Apr 29, 2022",2022,Apple TV+,Friday,8,54 min.,15+ - Teens 15 or older,8.4,This sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.,"Historical, Romance, Drama, Melodrama","Co-produced, Discrimination, Immigrant, Adapted From A Novel, Abuse Of Power, Racism, Japanese Colonial Rule, 1980s, Forbidden Love, Miniseries","Kogonada, Justin Chon",Soo Hugh,"Kim Min Ha, Youn Yuh Jung, Jin Ha, Lee Min Ho, Jeon Yu Na, Park So Hee","Blue Marble Pictures, A Han.Bok Dream Production, Media Res",#167
My Roommate Is a Gumiho,"May 26, 2021 - Jul 15, 2021",2021,"iQiyi, tvN","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead. One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.","Comedy, Romance, Fantasy","Nine-tailed Fox, Cohabitation, Smart Male Lead, Nice Male Lead, Supernatural, Independent Female Lead, Interspecies Romance, Adapted From A Webtoon, Friendship, Multiple Mains",Nam Sung Woo,"Baek Sun Woo, Choi Bo Rim","Jang Ki Yong, Lee Hye Ri, Kang Han Na, Kim Do Wan, Bae In Hyuk, Park Kyung Hye","Drama House, Contents Zium, JTBC Studios",#168
Yumi's Cells 2,"Jun 10, 2022 - Jul 22, 2022",2022,tvN,Friday,14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"After suffering a painful breakup, Yu Mi’s love cells have shut down completely, but a chance meeting with the emotionally stunted game designer, Goo Woong, changes all of that. Waking up a number of each other’s cells, Yu Mi and Goo Woong find themselves drawing closer, but even with the revival of their long-dormant love cells, their relationship wasn’t destined to last. Now a much wiser and more mature individual, Yu Mi finds herself willing to take on a set of challenges after an unexpected source of inspiration ignites her internal fire. Inspired by her co-worker, Bobby Yoo, Yu Mi and her hard-working cells set out to make all of her dreams come true.","Comedy, Romance, Life","Workplace Setting, Office Worker Female Lead, Office Worker Male Lead, Illustrator Supporting Character, Workplace Romance, Sweet Male Lead, Mixed Live Action-Animation, Adapted From A Webtoon",Lee Sang Yeob,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran","Kim Go Eun, Park Jin Young, Ahn Bo Hyun, Lee Yoo Bi, Mi Ram, Kwon Seung Woo","Studio Dragon, Merrycow Creative, Studio N, Locus Corporation",#169
